WHO region,2018,2018_median,2018_min,2018_max
Global,770000[570000-1100000],770000,570000,1100000
Africa,470000[340000-630000],470000,340000,630000
Americas,49000[36000-65000],49000,36000,65000
South-East Asia,150000[110000-240000],150000,110000,240000
Europe,38000[28000-49000],38000,28000,49000
Eastern Mediterranean,15000[10000-23000],15000,10000,23000
Western Pacific,48000[40000-61000],48000,40000,61000
