WHO region,2018,2018_median,2018_min,2018_max
Global,0.8[0.6-0.9],0.8,0.6,0.9
Africa,3.9[3.3-4.5],3.9,3.3,4.5
Americas,0.4[0.4-0.5],0.4,0.4,0.5
South-East Asia,0.3[0.2-0.4],0.3,0.2,0.4
Europe,0.4[0.4-0.5],0.4,0.4,0.5
Eastern Mediterranean,0.1[0.1-0.1],0.1,0.1,0.1
Western Pacific,0.1[0.1-0.2],0.1,0.1,0.2
